n;Used_memory;
0;2725593088;
1;2721886208;
2;2721927168;
3;2721796096;
4;2721808384;
5;2721423360;
6;2721546240;
7;2721460224;
8;2721841152;
9;2722004992;
10;2721878016;
11;2721910784;
12;2721935360;
13;2721902592;
14;2721837056;
15;2721869824;
16;2721644544;
17;2721898496;
18;2721644544;
19;2721816576;
20;2721779712;
21;2721894400;
22;2721873920;
23;2721873920;
24;2721767424;
25;2721673216;
26;2721800192;
27;2721677312;
28;2721742848;
29;2721701888;
30;2721718272;
31;2729418752;
32;2721148928;
33;2721243136;
34;2721091584;
35;2720858112;
36;2720993280;
37;2721144832;
38;2721239040;
39;2721280000;
40;2721120256;
41;2721120256;
42;2721017856;
43;2721173504;
44;2721079296;
45;2720980992;
46;2720980992;
47;2720980992;
48;2721140736;
49;2721079296;
50;2721144832;
51;2721370112;
52;2721308672;
53;2721501184;
54;2721406976;
55;2721505280;
56;2721538048;
57;2721603584;
58;2721636352;
59;2721734656;
