name;n;swaps_quick;compares_quick;time_quick;swaps_n_quick;compares_n_quick;
quick;100;405;599;0.00083196;202.5;299.5;
quick;200;850;1398;0.00188614;212.5;349.5;
quick;300;1368;2371;0.00250212;228;395.233;
quick;400;2056;3636;0.00445278;257;454.5;
quick;500;2889;4698;0.00590864;288.9;469.8;
quick;600;3327;5604;0.0072231;277.25;467;
quick;700;4176;7380;0.00960968;298.289;527.206;
quick;800;4474;7853;0.00965962;279.625;490.812;
quick;900;5147;9789;0.0114887;285.953;543.878;
quick;1000;6242;10105;0.0130073;312.11;505.291;
quick;1100;6584;11865;0.0152703;299.273;539.318;
quick;1200;7595;12855;0.0153361;316.475;535.658;
quick;1300;8707;15516;0.0194592;334.904;596.781;
quick;1400;9014;15818;0.0190728;321.946;564.929;
quick;1500;10652;17612;0.020435;355.072;587.075;
quick;1600;11407;21090;0.0255154;356.473;659.086;
quick;1700;11011;18396;0.0206085;323.878;541.062;
quick;1800;12600;21921;0.0257998;350.017;608.931;
quick;1900;13319;22411;0.0243338;350.525;589.764;
quick;2000;13963;24607;0.0226478;349.077;615.185;
quick;2100;14703;26061;0.0218676;350.085;620.516;
quick;2200;15784;27861;0.0216873;358.729;633.211;
quick;2300;16022;28197;0.0252523;348.319;612.993;
quick;2400;15795;29370;0.023114;329.065;611.885;
quick;2500;18039;31243;0.0246673;360.78;624.87;
quick;2600;20665;33397;0.0279715;397.42;642.261;
quick;2700;20265;36972;0.0317824;375.28;684.667;
quick;2800;19893;36750;0.0375473;355.235;656.251;
quick;2900;22011;36798;0.0442546;379.509;634.449;
quick;3000;23945;40939;0.0485161;399.099;682.317;
quick;3100;22768;39045;0.0456518;367.237;629.764;
quick;3200;25007;42786;0.0499979;390.747;668.545;
quick;3300;26313;44898;0.0539754;398.693;680.275;
quick;3400;26963;44581;0.0527181;396.516;655.612;
quick;3500;26903;46015;0.0516125;384.341;657.361;
quick;3600;27286;48612;0.055114;378.984;675.176;
quick;3700;29827;51199;0.0578689;403.076;691.886;
quick;3800;29729;51716;0.060501;391.182;680.481;
quick;3900;31104;54156;0.0588128;398.78;694.311;
quick;4000;34189;54123;0.059982;427.374;676.543;
quick;4100;32677;55269;0.0627741;398.512;674.018;
quick;4200;34029;58114;0.0656834;405.111;691.836;
quick;4300;36113;58526;0.0687626;419.92;680.538;
quick;4400;37219;62506;0.0675861;422.952;710.296;
quick;4500;36042;64194;0.0720034;400.476;713.274;
quick;4600;38338;64906;0.0734353;416.723;705.505;
quick;4700;41302;68608;0.076703;439.389;729.877;
quick;4800;41711;68061;0.0758829;434.495;708.973;
quick;4900;38848;67996;0.0810055;396.416;693.844;
quick;5000;41406;70684;0.0851715;414.062;706.848;
quick;5100;44252;72465;0.0859931;433.846;710.447;
quick;5200;45812;78720;0.0917035;440.505;756.931;
quick;5300;45913;78231;0.0886779;433.143;738.03;
quick;5400;46297;81535;0.0932789;428.684;754.961;
quick;5500;46574;82732;0.0895855;423.402;752.112;
quick;5600;50306;84125;0.0965296;449.169;751.116;
quick;5700;46860;81578;0.0856177;411.061;715.603;
quick;5800;52966;86829;0.0796381;456.604;748.532;
quick;5900;51374;86855;0.0935522;435.374;736.062;
quick;6000;54669;88863;0.0974059;455.577;740.527;
quick;6100;53757;95191;0.0767015;440.632;780.254;
quick;6200;58775;94536;0.0846825;473.995;762.389;
quick;6300;60311;97303;0.0751079;478.664;772.25;
quick;6400;54140;93676;0.0666052;422.971;731.847;
quick;6500;57744;96213;0.0758414;444.19;740.106;
quick;6600;60326;97683;0.111255;457.019;740.028;
quick;6700;62799;100755;0.0921545;468.656;751.905;
quick;6800;60456;98617;0.0832968;444.534;725.129;
quick;6900;61395;103825;0.0803714;444.898;752.362;
quick;7000;66474;104343;0.0830064;474.816;745.308;
quick;7100;63192;107349;0.122122;445.021;755.984;
quick;7200;65078;108116;0.117038;451.931;750.809;
quick;7300;72563;116216;0.107907;497.008;796.003;
quick;7400;68508;112419;0.0815629;462.898;759.591;
quick;7500;70254;112998;0.0777381;468.361;753.326;
quick;7600;69115;114289;0.0925949;454.704;751.907;
quick;7700;70131;121849;0.0895681;455.4;791.233;
quick;7800;76757;123434;0.102667;492.036;791.247;
quick;7900;76565;126749;0.102991;484.594;802.21;
quick;8000;74031;123868;0.100017;462.694;774.177;
quick;8100;79875;128042;0.0982953;493.058;790.383;
quick;8200;77270;129986;0.124181;471.161;792.598;
quick;8300;78178;133038;0.154202;470.953;801.435;
quick;8400;79036;133360;0.121555;470.453;793.81;
quick;8500;79959;133368;0.0967547;470.348;784.519;
quick;8600;80527;133218;0.102677;468.182;774.523;
quick;8700;82618;134040;0.0982613;474.819;770.345;
quick;8800;89058;142425;0.100157;506.015;809.236;
quick;8900;85035;139842;0.114628;477.729;785.63;
quick;9000;84852;138880;0.140823;471.402;771.557;
quick;9100;91126;144330;0.164046;500.692;793.026;
quick;9200;89593;144138;0.15718;486.924;783.36;
quick;9300;90897;149490;0.167478;488.695;803.714;
quick;9400;93384;151384;0.176828;496.728;805.239;
quick;9500;93221;152030;0.172069;490.64;800.163;
quick;9600;94868;151544;0.168745;494.108;789.294;
quick;9700;96071;152335;0.181153;495.212;785.236;
quick;9800;96609;156986;0.185572;492.903;800.95;
quick;9900;99282;157447;0.18787;501.428;795.19;
quick;10000;100605;161239;0.187454;503.029;806.199;
