name;n;swaps_merge;compares_merge;time_merge;swaps_n_merge;compares_n_merge;
merge;100;537;537;0.000898946;2689.66;2689.66;
merge;200;1285;1285;0.00204187;3213.6;3213.6;
merge;300;2101;2101;0.00308371;3501.67;3501.67;
merge;400;2960;2960;0.00408006;3700.25;3700.25;
merge;500;3847;3847;0.00583372;3847.96;3847.96;
merge;600;4795;4795;0.00694122;3995.91;3995.91;
merge;700;5760;5760;0.00781824;4114.82;4114.82;
merge;800;6713;6713;0.00972959;4196.11;4196.11;
merge;900;7708;7708;0.0113102;4282.32;4282.32;
merge;1000;8689;8689;0.0106394;4344.59;4344.59;
merge;1100;9739;9739;0.0101321;4426.83;4426.83;
merge;1200;10778;10778;0.0129117;4491.2;4491.2;
merge;1300;11832;11832;0.0175748;4550.99;4550.99;
merge;1400;12896;12896;0.0165583;4606.06;4606.06;
merge;1500;13969;13969;0.015305;4656.42;4656.42;
merge;1600;15049;15049;0.0217844;4702.91;4702.91;
merge;1700;16122;16122;0.0177051;4742.01;4742.01;
merge;1800;17211;17211;0.0214926;4781.1;4781.1;
merge;1900;18318;18318;0.0270198;4820.57;4820.57;
merge;2000;19404;19404;0.026543;4851.02;4851.02;
merge;2100;20542;20542;0.0220238;4891.16;4891.16;
merge;2200;21682;21682;0.0225981;4927.74;4927.74;
merge;2300;22816;22816;0.0250426;4960.08;4960.08;
merge;2400;23972;23972;0.0341065;4994.35;4994.35;
merge;2500;25114;25114;0.0237809;5022.9;5022.9;
merge;2600;26250;26250;0.0235499;5048.22;5048.22;
merge;2700;27426;27426;0.0258992;5079.05;5079.05;
merge;2800;28584;28584;0.0372433;5104.4;5104.4;
merge;2900;29757;29757;0.0327617;5130.58;5130.58;
merge;3000;30914;30914;0.0353132;5152.4;5152.4;
merge;3100;32088;32088;0.0332042;5175.5;5175.5;
merge;3200;33280;33280;0.0381389;5200.14;5200.14;
merge;3300;34469;34469;0.0501796;5222.71;5222.71;
merge;3400;35654;35654;0.0487946;5243.28;5243.28;
merge;3500;36845;36845;0.0526349;5263.67;5263.67;
merge;3600;38034;38034;0.0539204;5282.53;5282.53;
merge;3700;39225;39225;0.0561539;5300.71;5300.71;
merge;3800;40423;40423;0.0591433;5318.91;5318.91;
merge;3900;41625;41625;0.0582573;5336.6;5336.6;
merge;4000;42824;42824;0.0426925;5353.06;5353.06;
merge;4100;44009;44009;0.0429467;5367.03;5367.03;
merge;4200;45261;45261;0.0435381;5388.26;5388.26;
merge;4300;46509;46509;0.0620801;5408.11;5408.11;
merge;4400;47749;47749;0.0616523;5426.1;5426.1;
merge;4500;48988;48988;0.057763;5443.19;5443.19;
merge;4600;50236;50236;0.0446365;5460.52;5460.52;
merge;4700;51493;51493;0.0429301;5478.01;5478.01;
merge;4800;52737;52737;0.0436716;5493.52;5493.52;
merge;4900;53969;53969;0.0649958;5507.14;5507.14;
merge;5000;55227;55227;0.0651779;5522.77;5522.77;
merge;5100;56477;56477;0.0531295;5537.05;5537.05;
merge;5200;57736;57736;0.0740118;5551.63;5551.63;
merge;5300;58994;58994;0.0741677;5565.55;5565.55;
merge;5400;60250;60250;0.0772031;5578.74;5578.74;
merge;5500;61514;61514;0.0873319;5592.21;5592.21;
merge;5600;62783;62783;0.0866759;5605.63;5605.63;
merge;5700;64045;64045;0.088161;5618.02;5618.02;
merge;5800;65316;65316;0.0608836;5630.73;5630.73;
merge;5900;66598;66598;0.0570039;5643.9;5643.9;
merge;6000;67850;67850;0.0579082;5654.21;5654.21;
merge;6100;69108;69108;0.0592606;5664.65;5664.65;
merge;6200;70377;70377;0.0580923;5675.62;5675.62;
merge;6300;71678;71678;0.0741109;5688.8;5688.8;
merge;6400;72952;72952;0.0991681;5699.4;5699.4;
merge;6500;74239;74239;0.102079;5710.7;5710.7;
merge;6600;75525;75525;0.0846446;5721.64;5721.64;
merge;6700;76812;76812;0.0715508;5732.25;5732.25;
merge;6800;78114;78114;0.073568;5743.72;5743.72;
merge;6900;79392;79392;0.0963187;5753.08;5753.08;
merge;7000;80675;80675;0.114391;5762.52;5762.52;
merge;7100;81966;81966;0.117172;5772.28;5772.28;
merge;7200;83253;83253;0.0882779;5781.52;5781.52;
merge;7300;84556;84556;0.0789164;5791.51;5791.51;
merge;7400;85866;85866;0.0728624;5801.78;5801.78;
merge;7500;87145;87145;0.0855266;5809.67;5809.67;
merge;7600;88452;88452;0.0765091;5819.24;5819.24;
merge;7700;89745;89745;0.0825686;5827.65;5827.65;
merge;7800;91052;91052;0.124847;5836.71;5836.71;
merge;7900;92338;92338;0.0892166;5844.23;5844.23;
merge;8000;93642;93642;0.12073;5852.66;5852.66;
merge;8100;94946;94946;0.124645;5860.89;5860.89;
merge;8200;96237;96237;0.113645;5868.11;5868.11;
merge;8300;97598;97598;0.126812;5879.4;5879.4;
merge;8400;98939;98939;0.121622;5889.28;5889.28;
merge;8500;100269;100269;0.0990641;5898.22;5898.22;
merge;8600;101610;101610;0.0943523;5907.59;5907.59;
merge;8700;102944;102944;0.13314;5916.35;5916.35;
merge;8800;104281;104281;0.116215;5925.07;5925.07;
merge;8900;105647;105647;0.0928468;5935.24;5935.24;
merge;9000;106973;106973;0.0874889;5942.99;5942.99;
