name;n;swaps_quick;compares_quick;time_quick;swaps_n_quick;compares_n_quick;
quick;100;401;600;0.000692898;2005;3000;
quick;200;888;1432;0.00170578;2220.65;3580.01;
quick;300;1551;2669;0.00313038;2585.29;4449.31;
quick;400;1720;3663;0.00302273;2150.47;4579.91;
quick;500;2608;4805;0.00340973;2608.94;4805.65;
quick;600;3294;5717;0.00414229;2745.34;4764.68;
quick;700;4307;7138;0.00587627;3077;5099.24;
quick;800;4774;8636;0.00919392;2983.79;5397.65;
quick;900;5588;9584;0.0115055;3104.49;5324.57;
quick;1000;6006;11111;0.0129992;3003;5555.96;
quick;1100;6672;11926;0.0135161;3032.78;5421.08;
quick;1200;7437;13513;0.0159642;3099.14;5630.48;
quick;1300;8190;14978;0.0178412;3150.08;5760.84;
quick;1400;9360;16643;0.0192464;3343.18;5944;
quick;1500;9400;17469;0.0199931;3133.56;5823.04;
quick;1600;10476;19043;0.0224146;3273.86;5951.22;
quick;1700;11549;20190;0.0239547;3396.92;5938.27;
quick;1800;12131;21811;0.0232534;3369.76;6058.85;
quick;1900;13059;23427;0.0204309;3436.78;6165.13;
quick;2000;13823;24316;0.0185012;3455.86;6079.1;
quick;2100;13981;25968;0.0209125;3328.94;6182.89;
quick;2200;15559;27086;0.0211116;3536.35;6156.1;
quick;2300;15988;29065;0.0207629;3475.84;6318.66;
quick;2400;17456;30342;0.020812;3636.81;6321.4;
quick;2500;18456;32242;0.022528;3691.33;6448.53;
quick;2600;19371;34005;0.0233061;3725.35;6539.53;
quick;2700;19362;34810;0.0236715;3585.74;6446.42;
quick;2800;20167;35857;0.0401354;3601.27;6403.19;
quick;2900;20820;37583;0.0429009;3589.67;6479.96;
quick;3000;21185;39546;0.0423588;3530.91;6591.16;
quick;3100;22265;40065;0.0449395;3591.24;6462.23;
quick;3200;23443;42077;0.0426765;3663.09;6574.57;
quick;3300;25017;44727;0.052004;3790.56;6776.92;
quick;3400;24462;45483;0.0534411;3597.36;6688.75;
quick;3500;25701;46561;0.0506623;3671.59;6651.66;
quick;3600;26440;47500;0.0468468;3672.29;6597.25;
quick;3700;27673;50004;0.0460427;3739.6;6757.32;
quick;3800;29497;52147;0.0609262;3881.22;6861.52;
quick;3900;30071;53464;0.0602195;3855.32;6854.38;
quick;4000;30407;54519;0.0582856;3800.99;6814.9;
quick;4100;31623;57340;0.0527937;3856.53;6992.74;
quick;4200;33366;59008;0.0566956;3972.22;7024.81;
quick;4300;33763;60099;0.0688087;3926.01;6988.29;
quick;4400;34346;61248;0.0671801;3903.01;6960.06;
quick;4500;34757;61915;0.0623807;3861.91;6879.55;
quick;4600;35851;64181;0.0659629;3896.94;6976.29;
quick;4700;36842;67004;0.0784941;3919.43;7128.12;
quick;4800;37518;67469;0.0796479;3908.17;7028.11;
quick;4900;37788;69535;0.0803909;3855.99;7095.48;
quick;5000;39578;71048;0.0538397;3957.8;7104.88;
quick;5100;40171;73171;0.0517401;3938.42;7173.65;
quick;5200;41389;74896;0.0522697;3979.8;7201.6;
quick;5300;42144;76345;0.0747599;3975.91;7202.41;
quick;5400;42452;77766;0.0579294;3930.78;7200.56;
quick;5500;43864;79241;0.0667667;3987.72;7203.73;
quick;5600;44627;80540;0.0606001;3984.64;7191.09;
quick;5700;45962;82332;0.071254;4031.78;7222.15;
quick;5800;47603;84985;0.065772;4103.74;7326.33;
quick;5900;48124;85796;0.0849083;4078.34;7270.89;
quick;6000;48138;86744;0.0922106;4011.58;7228.67;
quick;6100;49328;89115;0.102807;4043.33;7304.53;
quick;6200;49925;90510;0.104846;4026.28;7299.2;
quick;6300;52049;92304;0.107241;4130.92;7325.76;
quick;6400;52252;93640;0.108507;4082.23;7315.67;
quick;6500;52717;95794;0.109359;4055.21;7368.81;
quick;6600;53785;97383;0.110751;4074.63;7377.52;
quick;6700;54776;98164;0.101021;4087.8;7325.68;
quick;6800;55625;100573;0.0765178;4090.12;7395.08;
quick;6900;57487;102513;0.0834225;4165.76;7428.48;
quick;7000;57148;103700;0.0954357;4082;7407.15;
quick;7100;59442;106336;0.120721;4186.1;7488.49;
quick;7200;59966;108219;0.121645;4164.36;7515.25;
quick;7300;61135;109757;0.124797;4187.35;7517.62;
quick;7400;62060;110636;0.0875616;4193.27;7475.43;
quick;7500;62651;111576;0.0960174;4176.73;7438.42;
quick;7600;62996;113723;0.129908;4144.5;7481.82;
quick;7700;65176;116789;0.116194;4232.21;7583.76;
quick;7800;65523;116536;0.114285;4200.22;7470.27;
quick;7900;66297;119242;0.127151;4196.07;7547;
quick;8000;67382;120970;0.127399;4211.39;7560.67;
quick;8100;67451;121777;0.0991183;4163.68;7517.13;
quick;8200;69073;125171;0.100142;4211.79;7632.42;
