name;n;swaps_radix;compares_radix;time_radix;swaps_n_radix;compares_n_radix;
radix;100;400;0;5,16e-05;40;0;
radix;200;800;0;9,75e-05;40;0;
radix;300;1200;0;0,0001414;40;0;
radix;400;1600;0;0,0001704;40;0;
radix;500;2000;0;0,000236;40;0;
radix;600;2400;0;0,00015;40;0;
radix;700;2800;0;0,0001255;40;0;
radix;800;3200;0;0,0001179;40;0;
radix;900;3600;0;0,0001305;40;0;
radix;1000;4000;0;0,0001454;40;0;
radix;1100;4400;0;0,0001922;40;0;
radix;1200;4800;0;0,0001606;40;0;
radix;1300;5200;0;0,0001662;40;0;
radix;1400;5600;0;0,0001858;40;0;
radix;1500;6000;0;0,0001977;40;0;
radix;1600;6400;0;0,0002121;40;0;
radix;1700;6800;0;0,0002271;40;0;
radix;1800;7200;0;0,0002367;40;0;
radix;1900;7600;0;0,0002484;40;0;
radix;2000;8000;0;0,0002601;40;0;
radix;2100;8400;0;0,000275;40;0;
radix;2200;8800;0;0,0002809;40;0;
radix;2300;9200;0;0,0003009;40;0;
radix;2400;9600;0;0,000396;40;0;
radix;2500;10000;0;0,0003637;40;0;
radix;2600;10400;0;0,0004204;40;0;
radix;2700;10800;0;0,0004636;40;0;
radix;2800;11200;0;0,0004103;40;0;
radix;2900;11600;0;0,0004203;40;0;
radix;3000;12000;0;0,0004324;40;0;
radix;3100;12400;0;0,0004464;40;0;
radix;3200;12800;0;0,0004612;40;0;
radix;3300;13200;0;0,0004753;40;0;
radix;3400;13600;0;0,0004894;40;0;
radix;3500;14000;0;0,0005045;40;0;
radix;3600;14400;0;0,0005719;40;0;
radix;3700;14800;0;0,0006212;40;0;
radix;3800;15200;0;0,0006653;40;0;
radix;3900;15600;0;0,0006771;40;0;
radix;4000;16000;0;0,0006931;40;0;
radix;4100;16400;0;0,0007211;40;0;
radix;4200;16800;0;0,0007356;40;0;
radix;4300;17200;0;0,0007482;40;0;
radix;4400;17600;0;0,0007685;40;0;
radix;4500;18000;0;0,0007712;40;0;
radix;4600;18400;0;0,0006611;40;0;
radix;4700;18800;0;0,000679;40;0;
radix;4800;19200;0;0,0006905;40;0;
radix;4900;19600;0;0,0007024;40;0;
radix;5000;20000;0;0,0007171;40;0;
radix;5100;20400;0;0,0007316;40;0;
radix;5200;20800;0;0,000746;40;0;
radix;5300;21200;0;0,0006936;40;0;
radix;5400;21600;0;0,0006833;40;0;
radix;5500;22000;0;0,0007121;40;0;
radix;5600;22400;0;0,0008018;40;0;
radix;5700;22800;0;0,0008165;40;0;
radix;5800;23200;0;0,0007547;40;0;
radix;5900;23600;0;0,0007714;40;0;
radix;6000;24000;0;0,0008764;40;0;
radix;6100;24400;0;0,00088;40;0;
radix;6200;24800;0;0,0008554;40;0;
radix;6300;25200;0;0,0008042;40;0;
radix;6400;25600;0;0,0008183;40;0;
radix;6500;26000;0;0,0008294;40;0;
radix;6600;26400;0;0,0008453;40;0;
radix;6700;26800;0;0,0008536;40;0;
radix;6800;27200;0;0,000867;40;0;
radix;6900;27600;0;0,0008811;40;0;
radix;7000;28000;0;0,0008914;40;0;
radix;7100;28400;0;0,0009041;40;0;
radix;7200;28800;0;0,0010273;40;0;
radix;7300;29200;0;0,0012648;40;0;
radix;7400;29600;0;0,0011571;40;0;
radix;7500;30000;0;0,0011048;40;0;
radix;7600;30400;0;0,0011825;40;0;
radix;7700;30800;0;0,0018103;40;0;
radix;7800;31200;0;0,0011387;40;0;
radix;7900;31600;0;0,0011136;40;0;
radix;8000;32000;0;0,0011202;40;0;
radix;8100;32400;0;0,0010562;40;0;
radix;8200;32800;0;0,0011884;40;0;
radix;8300;33200;0;0,0011029;40;0;
radix;8400;33600;0;0,0010805;40;0;
radix;8500;34000;0;0,0010866;40;0;
radix;8600;34400;0;0,0010944;40;0;
radix;8700;34800;0;0,0011075;40;0;
radix;8800;35200;0;0,0011147;40;0;
radix;8900;35600;0;0,0011256;40;0;
radix;9000;36000;0;0,0011519;40;0;
radix;9100;36400;0;0,0011689;40;0;
radix;9200;36800;0;0,0011635;40;0;
radix;9300;37200;0;0,0011833;40;0;
radix;9400;37600;0;0,0012041;40;0;
radix;9500;38000;0;0,0012216;40;0;
radix;9600;38400;0;0,0012255;40;0;
radix;9700;38800;0;0,0012355;40;0;
radix;9800;39200;0;0,0012475;40;0;
radix;9900;39600;0;0,0012598;40;0;
radix;10000;40000;0;0,0012715;40;0;
