n;k;swaps_select;compares_select;time_select;swaps_rselect;compares_rselect;time_rselect
10;10;32;60;9e-06;12;12;1,3e-05;
110;28;1366;3489;9,9e-05;109;248;3,6e-05;
210;102;5986;18631;0,000484;312;553;4,8e-05;
310;247;11827;39166;0,001014;356;1024;5,8e-05;
410;166;19177;63608;0,001609;389;732;5,4e-05;
510;371;28072;96987;0,002344;1039;1954;9,5e-05;
610;57;39857;140942;0,003334;432;1025;4,7e-05;
710;141;57697;206211;0,003012;779;1991;5,5e-05;
810;600;162575;584293;0,006175;831;2315;4,3e-05;
910;739;359577;1333906;0,014557;1010;2158;5,4e-05;
1010;123;169018;631797;0,006712;1005;2506;5,2e-05;
1110;924;725432;2669654;0,028425;2694;5252;0,000105;
1210;953;878212;3200175;0,03339;2059;5281;0,0001;
1310;451;438278;1650001;0,016354;3902;5520;0,000103;
1410;250;559440;2072006;0,020456;1931;4843;7,1e-05;
1510;1384;5097350;19017221;0,180304;2772;2897;3,9e-05;
1610;1258;5850061;21954642;0,205099;2539;3132;5,4e-05;
1710;1272;6827710;25731386;0,238787;3960;6670;0,0001;
1810;529;1885944;6953878;0,065826;2553;4303;8,2e-05;
1910;1145;3703893;13957400;0,127778;3048;3808;5,3e-05;
2010;1942;14748153;56304204;0,620601;1984;4229;6,9e-05;
2110;478;1296054;4805985;0,061061;4530;6502;0,000139;
2210;2131;158332107;599234133;7,5226;2408;4266;0,000111;
2310;1960;90257408;344915515;4,63677;4915;6251;0,00016;
2410;750;2091391;7744462;0,11409;4220;6846;0,000167;
2510;832;2348730;8700678;0,1274;6402;11060;0,000235;
2610;2431;223849349;845816316;11,1944;2902;5146;8,5e-05;
2710;1702;241687837;908063919;12,2156;2910;6465;0,000153;
2810;201;3690255;13702390;0,192395;3319;7025;0,000125;
2910;1713;10087118;37847318;0,525901;5985;11256;0,000241;
3010;332;5009505;18705887;0,260902;5113;8501;0,000136;
3110;1890;78189927;293563779;4,04581;7288;11987;0,000174;
3210;2163;274194371;1025742165;14,1294;4814;8826;0,000195;
3310;2527;45799680;174483657;2,34345;3783;13217;0,000179;
3410;2045;361353305;1344569771;17,0046;7752;15340;0,0002;
3510;2123;15598340;58681117;0,729021;9689;19447;0,000245;
3610;1477;12155802;45508595;0,570995;7994;18664;0,000284;
3710;3379;244163872;917935130;11,9243;5067;9630;0,000161;
3810;3586;71715615;274040600;3,20362;4121;7322;0,00012;
3910;1842;15174229;57294448;0,668843;6290;13330;0,000184;
4010;204;10198594;38784855;0,439211;4754;8851;0,000143;
4110;2016;659223817;-1856225701;32,3226;7090;16093;0,000202;
4210;656;25662828;97899368;1,33627;9432;14960;0,000274;
4310;1186;289045197;1083434618;14,719;4501;9518;0,000225;
4410;2895;589366701;-2110104904;27,2737;8836;12677;0,000194;
4510;1307;-747141333;506828028;161,274;12534;19054;0,000269;
4610;1005;-1670663382;1363558400;128,222;14369;22079;0,00063;
4710;2530;37492407;143212577;1,96731;5719;14264;0,000218;
4810;1461;-119430207;2141168522;380,832;6576;11915;0,000175;
4910;606;25184461;96443470;1,30144;4964;11932;0,000219;
